pert_iname	moa
moxonidine	Imidazoline receptor agonist
ambelline	Plant alkaloid
BD-1008	Sigma receptor antagonist
VU-0400071-3	Glutamate receptor antagonist
aminoguanidine	Nitric oxide synthase inhibitor
reparixin	CC chemokine receptor antagonist
adarotene	Retinoid receptor agonist
BRD-K03070961	Cytochrome P450 inhibitor
retigabine	Potassium channel activator
ibuprofen	Cyclooxygenase inhibitor
PF-04447943	Phosphodiesterase inhibitor
yohimbine	Adrenergic receptor antagonist
glipizide	Sulfonylurea
pidotimod	Interferon inducer|Interleukin receptor agonist
riluzole	Glutamate inhibitor
lisinopril	ACE inhibitor
safinamide	Dopamine receptor antagonist|Glutamate inhibitor|Monoamine oxidase inhibitor
ASA-404	Angiogenesis inhibitor
BRD-K05396879	PPAR receptor agonist
AQ-RA741	Acetylcholine receptor antagonist
butorphanol-(+)-tartrate	Opioid receptor agonist|Opioid receptor antagonist
exemestane	Aromatase inhibitor
elesclomol	Oxidizing agent
BRD-K22969690	Bacterial 50S ribosomal subunit inhibitor
labetalol	Adrenergic receptor antagonist
BRD-A69470004	XIAP inhibitor
tadalafil	Phosphodiesterase inhibitor
R-428	AXL kinase inhibitor
benazepril	ACE inhibitor
KIN001-266	MAP kinase inhibitor
CS-1657	PARP inhibitor
calmidazolium	Calcium channel blocker
mitoxantrone	Topoisomerase inhibitor
dapagliflozin	Sodium/glucose cotransporter inhibitor
delcorine	Antiarrhythmic|Ganglionic blocker
BRD-K90864987	HSP inducer
tetrabenazine	Vesicular monoamine transporter inhibitor
saquinavir	HIV inhibitor
CL-82198	Metalloproteinase inhibitor
senicapoc	Potassium channel blocker
chlorphensin	Muscle relaxant
ABT-202	Acetylcholine receptor agonist
myricitrin	Protein kinase inhibitor
teriflunomide	Dihydroorotate dehydrogenase inhibitor
PTB1	AMPK activator
API-001	Sigma receptor antagonist
netupitant	Tachykinin antagonist
tagatose	Phospholipase inhibitor
BCI-hydrochloride	Protein phosphatase inhibitor
mefloquine	Adenosine receptor antagonist|Hemoglobin antagonist
pargyline	Monoamine oxidase inhibitor
PIT	Purinergic receptor antagonist
delivert	Angiotensin receptor agonist
BRD-K68552125	PKC activator
artesunate	DNA synthesis inhibitor
doramapimod	P38 MAPK inhibitor
CPI-1189	TNF inhibitor
rimonabant	Cannabinoid receptor antagonist
SAR-245409	PI3K inhibitor
reserpine	Vesicular monoamine transporter inhibitor
pirfenidone	TGF-beta receptor inhibitor
ibutamoren	Growth hormone secretagogue receptor agonist
ioxaglic-acid	Radiopaque medium
alaproclate	Serotonin receptor antagonist
arofylline	Phosphodiesterase inhibitor
NSC-625987	CDK inhibitor
BRD-K09991945	PKC inhibitor
maprotiline	Norepinephrine inhibitor|Tricyclic antidepressant
SR-2640	Leukotriene receptor antagonist
mianserin	Serotonin receptor antagonist
fumonisin-b1	Sphingosine kinase inhibitor
VX-222	HCV inhibitor
cyclophosphamide	DNA alkylating agent
etofylline-clofibrate	Platelet aggregation inhibitor|Lipase clearing factor inhibitor
XBD-173	Benzodiazepine receptor agonist
oglemilast	Phosphodiesterase inhibitor
alverine	Muscle relaxant
MBX-2982	Glucose dependent insulinotropic receptor agonist
isradipine	Calcium channel blocker
metolazone	Carbonic anhydrase inhibitor
pyrimethamine	Dihydrofolate reductase inhibitor
phensuximide	Succinimide antiepileptic
CB-10-277	DNA inhibitor|DNA synthesis inhibitor
D-serine	Glutamate receptor agonist
NSC-95397	CDC inhibitor
fluspirilene	Dopamine receptor antagonist
sirolimus	MTOR inhibitor
ribavirin	Antiviral
dazmegrel	Thromboxane synthase inhibitor
CI-976	ACAT inhibitor
vidarabine	Antiviral
pirenzepine	Acetylcholine receptor antagonist
cefotetan	Bacterial cell wall synthesis inhibitor
SKF-83566	Dopamine receptor antagonist
BVD-523	MAP kinase inhibitor
cimetidine	Histamine receptor antagonist
UNC-0321	Histone lysine methyltransferase inhibitor
BRD-K87226815	Bacterial cell wall synthesis inhibitor
tanshinone-iia	Anti-inflammatory|Interleukin inhibitor
docetaxel	Tubulin inhibitor
BML-257	AKT inhibitor|HCV inhibitor
BRD-K65592642	Gamma secretase inhibitor
fostamatinib	Syk inhibitor
delanzomib	Proteasome inhibitor
PT-630	Dipeptidyl peptidase inhibitor
tofisopam	Phosphodiesterase inhibitor|Cytochrome P450 inhibitor
belinostat	HDAC inhibitor
tropisetron	Serotonin receptor antagonist
quinidine	Sodium channel blocker
famotidine	Histamine receptor antagonist
BAY-11-7082	NFKB inhibitor
BRD-K58033748	Acetylcholine receptor antagonist
teroxirone	DNA inhibitor
aspirin	Cyclooxygenase inhibitor
nefiracetam	Acetylcholine receptor agonist|GABA receptor agonist
alisertib	Aurora kinase inhibitor
pyrrolidine-dithiocarbamate	NFKB inhibitor
phenelzine	Monoamine oxidase inhibitor
mocetinostat	HDAC inhibitor
BRD-K09668667	Carcinogen
RS-23597-190	Serotonin receptor antagonist
danegaptide	Gap junction modulator
triclabendazole	Tubulin inhibitor
albendazole-oxide	Anthelmintic
CL-218872	GABA receptor agonist
voriconazole	Cytochrome P450 inhibitor
trehalose	Pharmacological chaperone
diphenylpyraline	Dopamine receptor antagonist
loratadine	Histamine receptor antagonist
trazodone	Adrenergic receptor antagonist|Serotonin receptor antagonist|Serotonin reuptake inhibitor
AZD-7687	Diacylglycerol O acyltransferase inhibitor
nutlin-3	MDM inhibitor
BRD-A39415247	Progesterone receptor agonist
dabrafenib	RAF inhibitor
phentolamine	Adrenergic receptor antagonist
PHA-793887	CDK inhibitor
aclidinium	Acetylcholine receptor antagonist
nitrofurantoin	DNA inhibitor
BRD-K72541103	JAK inhibitor
taxifolin	Opioid receptor antagonist
diltiazem	Calcium channel blocker
REV-5901	Leukotriene receptor antagonist|Lipoxygenase inhibitor
terguride	Serotonin receptor antagonist
amlodipine	Calcium channel blocker
nafamostat	Serine protease inhibitor
adenosine	Adenosine receptor agonist
BRD-K92980438	Hexokinase inhibitor
SSR-69071	Leukocyte elastase inhibitor
SANT-2	Smoothened receptor antagonist
BMS-182874	Endothelin receptor antagonist
AZD-2461	PARP inhibitor
BRD-K33583600	Guanylate cyclase activator
lapatinib	EGFR inhibitor|ERBB2 inhibitor
PF-04217903	MET inhibitor
lysergol	Ergoline alkaloid
gabazine	GABA receptor antagonist
afatinib	EGFR inhibitor
AGK-2	SIRT inhibitor
camicinal	Motilin receptor agonist
lovastatin	HMGCR inhibitor
MK-212	Serotonin receptor agonist
NU-6027	CDK inhibitor
tretinoin	Retinoid receptor agonist
doxorubicin	Topoisomerase inhibitor
safinamide	Monoamine oxidase inhibitor
calcitriol	Vitamin D receptor agonist
gemfibrozil	Lipoprotein lipase activator
AZD-3514	Drugs Acting on Androgen Receptor
dihydrexidine	Dopamine receptor agonist
atovaquone	Mitochondrial inhibitor
gedunin	HSP inhibitor
linifanib	PDGFR inhibitor|VEGFR inhibitor
hyoscyamine	Acetylcholine receptor antagonist
BYK-204165	PARP inhibitor
prednisone	Glucocorticoid receptor agonist
quinapril	ACE inhibitor
MRS-1754	Adenosine receptor antagonist
levosimendan	Calcium channel blocker
cediranib	VEGFR inhibitor|KIT inhibitor
mestranol	Estrogen receptor agonist
vorinostat	HDAC inhibitor
orteronel	Androgen biosynthesis inhibitor
ponalrestat	Aldose reductase inhibitor
bosutinib	Src inhibitor|Abl inhibitor|Bcr-Abl inhibitor
BRD-A92800748	TIE inhibitor
bucladesine	Adenosine receptor agonist|CAMP stimulant
BRD-A68039575	Aromatase inhibitor
dalfampridine	Potassium channel antagonist
motesanib	KIT inhibitor|PDGFR inhibitor|VEGFR inhibitor
NBQX	Glutamate receptor antagonist
bromocriptine	Dopamine receptor agonist
FG-7142	GABA receptor agonist
gallopamil	Calcium channel blocker
pentobarbital	GABA receptor modulator
SDZ-NKT-343	Tachykinin antagonist
butalbital	GABA receptor antagonist
tolimidone	Src activator
cevimeline	Acetylcholine receptor agonist
LY-2811376	Beta secretase inhibitor
birinapant	XIAP inhibitor
carbinoxamine	Histamine receptor antagonist|Calcium channel blocker
indinavir	HIV inhibitor
ORG-9768	Adrenergic receptor antagonist
furosemide	Diuretic
norgestimate	Progesterone receptor agonist
closantel	Chitin inhibitor|NFKB inhibitor
VX-745	P38 MAPK inhibitor
clopamide	Sodium/chloride cotransporter inhibitor
BRD-K14965640	Cyclooxygenase inhibitor
tolmetin	Cyclooxygenase inhibitor
ingenol	PKC activator
loreclezole	GABA receptor agonist
NVP-DPP728	Dipeptidyl peptidase inhibitor
WH-4023	Src inhibitor
actarit	Interleukin inhibitor
SB-203580	P38 MAPK inhibitor
BRD-K84924563	Glutamate receptor antagonist|Glutaminase inhibitor
tripelennamine	Histamine receptor antagonist
methylprednisolone	Glucocorticoid receptor agonist
mecamylamine	Acetylcholine receptor antagonist
mepyramine	Histamine receptor antagonist
oxypurinol	Xanthine oxidase inhibitor
armodafinil	Adrenergic receptor agonist
acetazolamide	Carbonic anhydrase inhibitor
rocuronium	Acetylcholine receptor antagonist
kavain	Calcium channel blocker|Sodium channel inhibitor
benzylpenicillin	Penicillin binding protein inhibitor
GR-79236	Adenosine receptor agonist
CCCP	Mitochondrial oxidative phosphorylation uncoupler
FCCP	Mitochondrial oxidative phosphorylation uncoupler
daminozide	KDM2A inhibitor
AZD-1480	JAK inhibitor
noretynodrel	Progestogen hormone
sasapyrine	NFKB inhibitor
cortisone	Androgen receptor antagonist
granisetron	Serotonin receptor antagonist
vincamine	Adrenergic receptor antagonist
melatonin	Melatonin receptor agonist|Nitric oxide synthase inhibitor
fleroxacin	Bacterial DNA Gyrase inhibitor
nimetazepam	GABA receptor agonist
bupivacaine	Sodium channel inhibitor
BRD-K07303502	Cytosolic phospholipase inhibitor
cariprazine	Dopamine receptor antagonist
raloxifene	Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)
dobutamine	Adrenergic receptor agonist
PNU-96415E	Dopamine receptor antagonist
piribedil	Dopamine receptor agonist
SR-33805	Calcium channel blocker
diclofensine	Dopamine receptor antagonist
pirarubicin	Topoisomerase inhibitor
tafamidis-meglumine	Transthyretin stabilizer
marbofloxacin	Bacterial DNA inhibitor
SPP-301	Endothelin receptor antagonist
doxepin	Histamine receptor antagonist
clocortolone-pivalate	Steroid
ganciclovir	DNA inhibitor
TFMPP	Serotonin receptor agonist|Serotonin receptor antagonist
BRD-A83255679	Estrogen receptor antagonist
atomoxetine	Norepinephrine inhibitor
clinafloxacin	Bacterial DNA Gyrase inhibitor
IRL-2500	Endothelin receptor antagonist
cilastatin	Dehydropeptidase inhibitor
phentermine	Dopamine receptor antagonist|Serotonin reuptake inhibitor
proguanil	Dihydrofolate reductase inhibitor
VU-0240551	Solute carrier family member inhibitor
barasertib	Aurora kinase inhibitor
KW-2478	HSP inhibitor
nafcillin	Bacterial cell wall synthesis inhibitor
GSK-J2	Histone demethylase inhibitor
tubaic-acid	Mitochondrial inhibitor|NADH-ubiquinone oxidoreductase (Complex I) inhibitor
kawain	Calcium channel blocker|MTOR inhibitor|Sodium channel inhibitor
zalcitabine	Nucleoside reverse transcriptase inhibitor
vicriviroc	CCK receptor antagonist
BIX-02189	MEK inhibitor
S-18986	Glutamate receptor antagonist
chlorcyclizine	Histamine receptor antagonist
ICI-204448	Opioid receptor agonist
C-646	Histone acetyltransferase inhibitor
saxagliptin	Dipeptidyl peptidase inhibitor
proadifen	Nitric oxide synthase inhibitor
zaprinast	Phosphodiesterase inhibitor
linezolid	Bacterial 50S ribosomal subunit inhibitor
CAY-10577	Casein kinase inhibitor
BRD-K81647657	PI3K inhibitor
rucaparib	PARP inhibitor
nifedipine	Calcium channel blocker
EMF-BCA1-64	Caspase inhibitor
bexarotene	Retinoid receptor agonist
dephostatin	Tyrosine phosphatase inhibitor
pravastatin	HMGCR inhibitor
BRD-A53131506	Inactive testosterone analog
APO-866	NAMPT inhibitor
BMS-707035	HIV inhibitor
taladegib	Smoothened receptor antagonist
talipexole	Adrenergic receptor agonist|Dopamine receptor agonist
BRD-K68202742	HDAC inhibitor|CDK expression enhancer|ID1 expression inhibitor
amsacrine	Topoisomerase inhibitor
TGX-221	PI3K inhibitor
fosinopril	ACE inhibitor
ritodrine	Adrenergic receptor agonist
SANT-1	Smoothened receptor antagonist
melperone	Dopamine receptor antagonist|Serotonin receptor antagonist
KPT-330	Exportin antagonist
LY-288513	CCK receptor antagonist
methocarbamol	Muscle relaxant
canertinib	EGFR inhibitor
PRT-062607	Syk inhibitor
BRD-K23875128	Rho associated kinase inhibitor
clonazepam	GABA receptor agonist
isotretinoin	Retinoid receptor agonist
acipimox	Cholesterol inhibitor
LY-16350	Dopamine receptor agonist
ranitidine	Histamine receptor antagonist
trequinsin	Phosphodiesterase inhibitor
probucol	Atherogenesis inhibitor
MLN-8054	Aurora kinase inhibitor|Protein kinase inhibitor|Tubulin inhibitor
CHIR-99021	GSK inhibitor
potassium-canrenoate	Mineralocorticoid receptor antagonist
PF-03084014	Gamma secretase inhibitor
pindolol	Adrenergic receptor antagonist
pifithrin-mu	p53 inhibitor
BRD-K16762525	Bacterial 50S ribosomal subunit inhibitor
clemastine	Histamine receptor antagonist
hippeastrine	Plant alkaloid
clomethiazole	GABA receptor antagonist|GABA receptor modulator
brazilin	Nitric oxide production inhibitor
metenkephalin	Immunostimulant
BRD-K76022557	Dopamine receptor agonist
prazosin	Adrenergic receptor antagonist
4-PPBP	Sigma receptor agonist
fadrozole	Aromatase inhibitor
prostaglandin-a1	Prostanoid receptor antagonist|NFKB inhibitor
exherin	Cadherin antagonist
febuxostat	Xanthine oxidase inhibitor
guaifenesin	Expectorant
rofecoxib	Cyclooxygenase inhibitor
cyclopamine	Smoothened receptor antagonist
midodrine	Adrenergic receptor agonist
isamoltane	Adrenergic receptor antagonist
cholic-acid	Bile acid
flurofamide	Urease inhibitor
AR-C133057XX	Nitric oxide synthase inhibitor
SJ-172550	MDM inhibitor
BRD-K20986251	FXR antagonist|Vitamin D receptor agonist
SYK-inhibitor	Syk inhibitor
SB-525334	TGF-beta receptor inhibitor
cytisine	Acetylcholine receptor agonist
medrysone	Glucocorticoid receptor agonist
HMN-214	PLK inhibitor
SCH-28080	ATPase inhibitor
benfluorex	Gluconeogenesis inhibitor
oxybenzone	Lipase inhibitor
enoxacin	Bacterial DNA Gyrase inhibitor
josamycin	Bacterial 50S ribosomal subunit inhibitor
tegobuvir	HCV inhibitor|Protease inhibitor
bethanechol	Acetylcholine receptor agonist
cyproheptadine	Histamine receptor antagonist
danazol	Estrogen receptor antagonist|Progesterone receptor agonist
BRD-K33211335	Glutamate receptor antagonist|Sigma receptor agonist
serdemetan	MDM inhibitor
BRD-K43966364	Bacterial cell wall synthesis inhibitor
timolol	Adrenergic receptor antagonist
cerulenin	Fatty acid synthase inhibitor
cefepime	Bacterial cell wall synthesis inhibitor
ibudilast	Phosphodiesterase inhibitor|Leukotriene receptor antagonist
acebutolol	Adrenergic receptor antagonist
KIN001-242	Protein kinase inhibitor
ambrisentan	Endothelin receptor antagonist
moxaverine	Phosphodiesterase inhibitor
nefopam	Cyclooxygenase inhibitor
BRD-A01317026	Dihydroneopterin aldolase inhibitor
acexamic-acid	Gastrin inhibitor|5-alpha reductase inhibitor|Reducing agent
MK-0752	Gamma secretase inhibitor
blonanserin	Dopamine receptor antagonist|Serotonin receptor antagonist
fusidic-acid	Bacterial 30S ribosomal subunit inhibitor
BRD-K29133151	Thromboxane receptor antagonist
ML-9	Muscle relaxant
lorglumide	CCK receptor antagonist
pemirolast	Mediator release inhibitor
halcinonide	Glucocorticoid receptor agonist
topiroxostat	Xanthine oxidase inhibitor
tanespimycin	HSP inhibitor
eflornithine	Ornithine decarboxylase inhibitor
phenazopyridine	Anesthetic - local
acarbose	Glucosidase inhibitor
SB-590885	RAF inhibitor
balapiravir	RNA polymerase inhibitor
acetaldehyde	Metabolite of ethanol with a role in ethanol addiction
avagacestat	Gamma secretase inhibitor
etodolac	Cyclooxygenase inhibitor
D-609	Phospholipase inhibitor
BRD-K28452084	Opioid receptor agonist
GW-842166	Cannabinoid receptor agonist
fiacitabine	DNA inhibitor
L-701252	Glutamate receptor antagonist
UCL-2077	Slow afterhyperpolarization channel blocker
TTNPB	Retinoid receptor agonist
MK-0893	Glucagon receptor antagonist
GTP-14564	FLT3 inhibitor|Tyrosine kinase inhibitor
BRD-A48015106	Serotonin receptor agonist
SB-216641	Serotonin receptor antagonist
decitabine	DNA inhibitor
EI1	Histone lysine methyltransferase inhibitor
nebivolol	Adrenergic receptor antagonist
entacapone	Catechol O methyltransferase inhibitor
spiperone	Dopamine receptor antagonist
venlafaxine	Serotonin receptor antagonist|Adrenergic receptor antagonist|Norepinephrine reuptake inhibitor
mifobate	PPAR receptor antagonist
BADGE	PPAR receptor antagonist
nifurtimox	DNA inhibitor
SB-218795	Tachykinin antagonist
pazopanib	VEGFR inhibitor|KIT inhibitor|PDGFR inhibitor
sulfasalazine	Antirheumatic drug|NFKB inhibitor
DAPT-GSI-IX	Gamma secretase inhibitor
AGI-5198	Isocitrate dehydrogenase inhibitor
NSC-4644	ACAT inhibitor|Sterol regulatory element binding protein (SREBP) inhibitor
tirofiban	Platelet aggregation inhibitor|Structural glycoprotein antagonist
isoxsuprine	Adrenergic receptor agonist
SB-756050	G protein-coupled receptor agonist
doxifluridine	Thymidylate synthase inhibitor
MK-8245	Stearoyl-CoA desaturase inhibitor
crizotinib	ALK inhibitor
BRD-K01192156	Protein tyrosine kinase inhibitor
cilomilast	Phosphodiesterase inhibitor
felodipine	Calcium channel blocker
pergolide	Dopamine receptor agonist
BMS-777607	AXL kinase inhibitor|FLT3 inhibitor|HGF receptor inhibitor|Macrophage inhibitor|MET inhibitor|Tyrosine kinase inhibitor
kaempferol	Bone resorption inhibitor|Estrogen receptor agonist
BAY-K8644	Calcium channel activator
BRD-K08438429	Somatostatin receptor agonist
merimepodib	Inosine monophosphate dehydrogenase inhibitor
procainamide	Sodium channel inhibitor
fidaxomicin	RNA polymerase inhibitor
HA-14-1	BCL inhibitor
clofibrate	PPAR receptor agonist
BRD-K61217870	Glutamate receptor antagonist
doxycycline	Bacterial 30S ribosomal subunit inhibitor
A-205804	ICAM1 inhibitor
umeclidinium	Acetylcholine receptor antagonist
cytosporone-b	NUR77 receptor agonist
withaferin-a	IKK inhibitor
caffeine	Adenosine receptor antagonist|Phosphodiesterase inhibitor
dacomitinib	EGFR inhibitor
miltefosine	Membrane integrity inhibitor
fenticonazole	Bacterial cell wall synthesis inhibitor
necrostatin-1	RIPK inhibitor
BRD-K77245796	GABA receptor agonist
levofloxacin	Bacterial DNA Gyrase inhibitor
BRD-K00824317	Glucocorticoid receptor agonist
rutin	Capillary stabilizing agent
idelalisib	PI3K inhibitor
dolasetron	Serotonin receptor antagonist
tetrahydrobiopterin	Nitric oxide stimulant|Nitric oxide synthase stimulant|Phenylalanine 4-hydroxylase stimulant
roxatidine	Histamine receptor antagonist
ostarine	Androgen receptor antagonist
secnidazole	Acetylcholinesterase inhibitor|Tubulin inhibitor
BP-897	Dopamine receptor agonist
BRD-K63784565	Topoisomerase inhibitor
rifabutin	Bacterial protein synthesis inhibitor
ipidacrine	Acetylcholinesterase inhibitor
refametinib	MEK inhibitor
bendamustine	DNA inhibitor
BRD-K08703257	PARP inhibitor
xanthohumol	ATPase inhibitor
indiplon	Benzodiazepine receptor agonist|GABA receptor agonist
lobendazole	Anthelmintic
zebularine	DNA methyltransferase inhibitor
levomepromazine	Dopamine receptor antagonist
deforolimus	MTOR inhibitor
urea	Hydroxy radical formation stimulant
exifone	Nootropic agent
dexketoprofen	Cyclooxygenase inhibitor
dexamethasone-acetate	Glucocorticoid receptor agonist|Corticosteroid agonist|Cytochrome P450 inhibitor
ITE	Aryl hydrocarbon receptor agonist
novobiocin	Bacterial DNA inhibitor
penciclovir	DNA inhibitor
norcyclobenzaprine	Adrenergic receptor agonist|Serotonin receptor antagonist
SRT-1720	SIRT activator
BU-224	Imidazoline receptor agonist|Imidazoline ligand
indobufen	Cyclooxygenase inhibitor|Platelet aggregation inhibitor
alprostadil	Prostanoid receptor agonist
BRD-K97951054	Aurora kinase inhibitor
Z160	Calcium channel blocker
carisoprodol	Acetylcholine receptor antagonist
VE-821	ATR kinase inhibitor
ZD-7114	Adrenergic receptor agonist
menadione	Mitochondrial inhibitor|Phosphatase inhibitor
temsirolimus	MTOR inhibitor
aminopentamide	Acetylcholine receptor antagonist
moclobemide	Monoamine oxidase inhibitor
imiquimod	Interferon inducer|TLR agonist
ritonavir	HIV inhibitor
clemizole	HCV inhibitor
phenprocoumon	Vitamin K antagonist
buspirone	Serotonin receptor agonist
4-mu-8C	IRE1 inhibitor
dalcetrapib	Cholesterol inhibitor
PF-4800567	Casein kinase inhibitor
6-aminochrysene	Transferase inhibitor
N-methylquipazine	Serotonin receptor agonist
teneligliptin	Dipeptidyl peptidase inhibitor
cinepazide	Calcium channel activator
tyrphostin-1	EGFR inhibitor
thapsigargin	ATPase inhibitor
trimetazidine	3-ketoacyl CoA thiolase inhibitor
moxisylyte	Adrenergic receptor antagonist
prilocaine	Anesthetic - local
anecortave-acetate	Corticosteroid agonist|Angiogenesis inhibitor
aminoglutethimide	Glucocorticoid receptor antagonist
fidarestat	Aldose reductase inhibitor
apafant	Platelet activating factor receptor antagonist
GW-441756	Growth factor receptor inhibitor
betaxolol	Adrenergic receptor antagonist
nicaraven	Free radical scavenger
sparfosic-acid	Aspartate carbamoyltransferase inhibitor
CNQX	Glutamate receptor antagonist
dubinidine	Antiepileptic
BRD-K12244279	MEK inhibitor
sulfafurazole	Bacterial antifolate
piceid	Glucosidase inhibitor
alfuzosin	Adrenergic receptor antagonist
BRD-K24689407	Nitric oxide synthase inhibitor
benzthiazide	Carbonic anhydrase inhibitor
BRD-K55591206	Bacterial DNA inhibitor
propoxycaine	Anesthetic - local
PKCbeta-inhibitor	PKC inhibitor
MD-920	NFKB inhibitor
ketanserin	Serotonin receptor antagonist
BRD-A49906757	Acetylcholine receptor antagonist
xaliproden	Serotonin receptor agonist
nornicotine	Acetylcholine receptor agonist
PSB-36	Adenosine receptor antagonist
myricetin	Androgen receptor agonist|Cytochrome P450 inhibitor
naphazoline	Adrenergic receptor agonist
hydroflumethiazide	Sodium channel inhibitor
GW-843682X	PLK inhibitor
BRD-K14643723	Carbonic anhydrase inhibitor
mitomycin-c	DNA alkylating agent|DNA inhibitor
tramiprosate	Beta amyloid inhibitor
levocetirizine	Histamine receptor antagonist
DCPIB	Chloride channel blocker|Gap junction modulator|Glutamate inhibitor
prednicarbate	Phospholipase activator
BRD-A57798559	GABA receptor antagonist
guggulsterone	Progesterone receptor agonist
FPL-55712	Leukotriene receptor antagonist
protirelin	Thyrotropin releasing hormone receptor agonist
tonabersat	Gap junction modulator|Nitric oxide production inhibitor
histamine	Histamine receptor agonist
darinaparsin	Apoptosis stimulant
YM-298198	Glutamate receptor antagonist
JNJ-10191584	Histamine receptor antagonist
ketorolac	Cyclooxygenase inhibitor
formoterol	Adrenergic receptor agonist
ledipasvir	HCV inhibitor
alagebrium	Glycosylation inhibitor
emodic-acid	Laxative
moxifloxacin	Bacterial DNA inhibitor
etamivan	Respiratory stimulant
orciprenaline	Adrenergic receptor agonist
dabigatran-etexilate	Thrombin inhibitor|Serine protease inhibitor
mannitol-D	Diuretic
VER-155008	HSP inhibitor
depomedrol	Glucocorticoid receptor agonist
retapamulin	Protein synthesis inhibitor
lacitol	Osmosis stimulant
lurasidone	Dopamine receptor antagonist|Serotonin receptor antagonist
formestane	Aromatase inhibitor
GSK-1904529A	IGF-1 inhibitor
BRD-K08177763	MTOR inhibitor
BRD-A84389633	Serotonin receptor antagonist
resatorvid	TLR antagonist
olomoucine	CDK inhibitor
carbofuran	Cholinesterase inhibitor
MDL-73005EF	Serotonin receptor antagonist
tazobactam	Beta lactamase inhibitor
BRD-K15164005	Carboxylesterase inhibitor
erythromycin	NFKB inhibitor
KU-60019	ATM kinase inhibitor
fludarabine	DNA synthesis inhibitor
vilazodone	Serotonin receptor antagonist
enzalutamide	Androgen receptor antagonist
decafluorobutane	Contrast agent
losartan	Angiotensin receptor antagonist
niacin	NAD precursor with lipid lowering effects
indometacin	Cyclooxygenase inhibitor
norfloxacin	Bacterial DNA Gyrase inhibitor
cordycepin	DNA inhibitor
CTB	Histone Acetyltransferase activator
exalamide	Membrane integrity inhibitor
mesoridazine	Dopamine receptor antagonist
bucladesine	Adenosine receptor agonist
HLI-373	MDM inhibitor
BRD-K87426499	Caspase inhibitor
GS-39783	GABA receptor antagonist
