Rank	Pert_id	Drug	rRGES	moa
96	BRD-K05520923	BRD-K05520923	-0.5373229791809008	-
97	BRD-K71003802	hippeastrine	-0.5371322083258081	Plant alkaloid
98	BRD-A24514565	warfarin	-0.5369486219379401	Vitamin K antagonist
99	BRD-K79116891	proxymetacaine	-0.5367519170247165	Sodium channel inhibitor
100	BRD-K11129031	gemfibrozil	-0.5366126604481308	Lipoprotein lipase activator
101	BRD-K43236057	piceid	-0.5362274152657565	Glucosidase inhibitor
102	BRD-K45435259	SCH-23390	-0.5360858993501866	-
103	BRD-K23657553	BRD-K23657553	-0.5360692156659732	-
104	BRD-K43405658	tyrphostin-AG-527	-0.535856799244704	-
105	BRD-K68185022	ursolic-acid	-0.5358125789404368	11-beta-HSD1 inhibitor|Acetylcholinesterase inhibitor|Caspase inhibitor|HIV protease inhibitor|Lipid peroxidase inhibitor|Quorum sensing signaling modulator|Steryl sulfatase inhibitor|Tyrosine phosphatase inhibitor|ATPase inhibitor|NFKB inhibitor|STAT inhibitor
106	BRD-K10995081	perphenazine	-0.5355814742527774	Dopamine receptor antagonist
107	BRD-K84141129	VU-0400193-3	-0.5353845810973229	-
108	BRD-K30816563	ranitidine	-0.5352323764992072	Histamine receptor antagonist
109	BRD-A94675310	BRD-A94675310	-0.5351946926511558	-
110	BRD-A78942461	ICI-118551	-0.535079873848974	-
111	BRD-K64610608	EMF-bca1-57	-0.5350721490270606	-
112	BRD-A99518825	BRD-A99518825	-0.5348463455422043	-
113	BRD-A16332958	modafinil	-0.5346191329239456	Adrenergic receptor agonist
114	BRD-K21788104	BRD-K21788104	-0.5339852100964875	-
115	BRD-A43940795	tetrahydropalmatine	-0.533537233874983	Serotonin receptor agonist
116	BRD-A44008656	doxylamine	-0.5335174210710939	Histamine receptor antagonist
117	BRD-K56515112	medrysone	-0.533085491028057	Glucocorticoid receptor agonist
118	BRD-U66370498	androstanol	-0.5327728974246144	CAR antagonist
119	BRD-A33447119	oxfendazole	-0.532603480187991	Anthelmintic
120	BRD-K62748479	BRD-K62748479	-0.5325692023203644	-
121	BRD-K60770992	pergolide	-0.5323623143728181	Dopamine receptor agonist
122	BRD-K95676198	JAK3-inhibitor-V	-0.5321295161515626	-
123	BRD-K62221994	T-98475	-0.5320921353700839	-
124	BRD-K22129929	BRD-K22129929	-0.5319194518362532	-
125	BRD-K30990140	FR-122047	-0.5316347095395502	-
126	BRD-K06890060	alda-1	-0.5312451666656475	Aldehyde dehydrogenase activator
127	BRD-K50891186	GR-103691	-0.5310975319716317	-
128	BRD-K50660797	epicatechin	-0.5308618266656555	Bacterial DNA inhibitor
129	BRD-A76732176	BRD-A76732176	-0.5304638439626203	-
130	BRD-A29426959	carbinoxamine	-0.5302869281239412	Histamine receptor antagonist|Calcium channel blocker
131	BRD-K54462405	doxepin	-0.5301089461134122	Histamine receptor antagonist
132	BRD-K95117060	BRD-K95117060	-0.529910948528994	-
133	BRD-K68264559	brimonidine	-0.5291784001067296	Adrenergic receptor agonist
134	BRD-K02701279	BRD-K02701279	-0.5287977242548241	-
135	BRD-K99737413	BRD-K99737413	-0.5284957095207465	-
136	BRD-K18574842	nafcillin	-0.5283449732221791	Bacterial cell wall synthesis inhibitor
137	BRD-K18074178	BRD-K18074178	-0.528241972402166	-
138	BRD-K21520694	sulfacetamide	-0.5282400617052186	PABA antagonist
139	BRD-A84481105	thioridazine	-0.5280155006443018	Dopamine receptor antagonist
140	BRD-A50764878	MDL-73005EF	-0.5275722486599781	-
141	BRD-K60996261	BRD-K60996261	-0.5269758209128517	-
142	BRD-K55930204	phenytoin	-0.526681800541908	Hydantoin antiepileptic
143	BRD-K58938839	cyclopamine	-0.5262056797073592	Smoothened receptor antagonist
144	BRD-K61314889	IWR-1-ENDO	-0.5261900240994863	-
145	BRD-K65411918	BRD-K65411918	-0.5260882813026727	-
146	BRD-K50368246	BRD-K50368246	-0.5258614768371319	-
147	BRD-K20742498	RS-39604	-0.5256810714834426	-
148	BRD-A16694057	bisphenol-a	-0.5255548301535452	Synthetic estrogen
149	BRD-K14868367	SA-97259	-0.5255201157652941	-
150	BRD-K64440589	SEW-05685	-0.5253886012927086	-
151	BRD-K38205437	BRD-K38205437	-0.5252375137499095	-
152	BRD-K95851186	CGP-13501	-0.5248649707005545	-
153	BRD-K29715937	BRD-K29715937	-0.5248562848831344	-
154	BRD-K33762302	BRD-K33762302	-0.5247704303227789	-
155	BRD-A30435184	metergoline	-0.5245287965538823	Serotonin receptor antagonist
156	BRD-K95760042	BRD-K95760042	-0.5243876435653495	-
157	BRD-A49160188	donepezil	-0.5242456590412258	Acetylcholinesterase inhibitor
158	BRD-K97181089	amiloride	-0.5241894277459281	Sodium channel inhibitor
159	BRD-A92537424	danazol	-0.5241728845361012	Progesterone receptor agonist
160	BRD-K91273791	BRD-K91273791	-0.5240319018915846	-
161	BRD-A06352418	terfenadine	-0.523602568740601	Histamine receptor antagonist
162	BRD-K55186349	BRD-K55186349	-0.5235123070032024	-
163	BRD-K33586157	BRD-K33586157	-0.5231554772467276	-
164	BRD-K77695569	tiabendazole	-0.5229004114612742	Angiogenesis inhibitor
165	BRD-K05775306	BRD-K05775306	-0.522897208175785	-
166	BRD-K32107296	temozolomide	-0.5225379405177548	DNA alkylating agent
167	BRD-K61250553	loperamide	-0.5224022359378323	Opioid receptor agonist
168	BRD-K66019333	oxantel	-0.5218736198626527	Anthelmintic
169	BRD-K86027709	BRD-K86027709	-0.5218171213192111	-
170	BRD-K40566034	BRD-K40566034	-0.5218115970707098	-
171	BRD-A04553218	chlorphenamine	-0.5217999979501823	-
172	BRD-A81389811	BRD-A81389811	-0.5217636738307527	-
173	BRD-K87226815	cycloserine	-0.5217494397865118	Glutamate receptor agonist
174	BRD-K70086257	BRD-K70086257	-0.5214105216687155	-
175	BRD-K41260949	valproic-acid	-0.5213779502523215	HDAC inhibitor|GABA receptor agonist|Voltage-gated sodium channel blocker
176	BRD-K55630727	BRD-K55630727	-0.5213190135002375	-
177	BRD-K10065684	dantron	-0.5211100454150048	Laxative
178	BRD-K14765469	vesamicol	-0.5210006825774881	Acetylcholinesterase inhibitor
179	BRD-K59058766	chlorprothixene	-0.5209155600159956	-
180	BRD-K60762818	desipramine	-0.520886794603364	Tricyclic antidepressant
181	BRD-K67445247	flurofamide	-0.5208606098962653	Urease inhibitor
182	BRD-K14711204	BRD-K14711204	-0.520441890627115	-
183	BRD-K11107424	tiotidine	-0.5201860789197894	Histamine receptor antagonist
184	BRD-K64835161	BRD-K64835161	-0.5200128058084555	-
185	BRD-K38455110	BRD-K38455110	-0.5199472610174826	-
186	BRD-K51662849	ilomastat	-0.5197684279251001	Matrix metalloprotease inhibitor
187	BRD-M45964048	verteporfin	-0.5196584892957292	-
188	BRD-K77771411	moxonidine	-0.5196529306948571	Imidazoline receptor agonist
189	BRD-K65342895	BRD-K65342895	-0.5196386020552337	-
190	BRD-K97516968	VU-0418000-1	-0.5195502842779988	-
191	BRD-K06753942	nobiletin	-0.5195320953871579	MEK inhibitor
192	BRD-K86693415	BRD-K86693415	-0.5193521712677932	-
193	BRD-K27871032	lysergol	-0.5192212602651175	Ergoline alkaloid
194	BRD-K15206810	BRD-K15206810	-0.5191873539559322	-
195	BRD-K13318664	BRD-K13318664	-0.5191003329842979	-
196	BRD-K91184774	BRD-K91184774	-0.5190041858023509	-
197	BRD-K55071917	BRD-K55071917	-0.5189841040624908	-
198	BRD-K62310379	fluticasone	-0.5187896717360697	Glucocorticoid receptor agonist
199	BRD-K67261995	adipiodone	-0.5186967038906003	Radiopaque medium
200	BRD-K28774715	BRD-K28774715	-0.5186790078181767	-
201	BRD-K35568648	BRD-K35568648	-0.5186711026186812	-
202	BRD-K29138830	BRD-K29138830	-0.5183837781357383	-
203	BRD-K36324071	NF-449	-0.5181445633757811	-
204	BRD-K80738081	resveratrol	-0.5179062753403625	Cytochrome P450 inhibitor
205	BRD-K63828191	raloxifene	-0.5178625242660853	Estrogen receptor antagonist|Selective estrogen receptor modulator (SERM)
206	BRD-A93206962	L-755507	-0.5177583269551471	-
207	BRD-A09056319	alfuzosin	-0.5176982666022318	Adrenergic receptor antagonist
208	BRD-K59522102	piperine	-0.5175189795257898	Monoamine oxidase inhibitor
209	BRD-K58698715	BRD-K58698715	-0.5174435490417518	-
210	BRD-K04430056	7-nitroindazole	-0.5172718325081634	Nitric oxide synthase inhibitor
211	BRD-K56558538	ambroxol	-0.5172605539696082	Sodium channel inhibitor
212	BRD-K13794505	BRD-K13794505	-0.5168963460813906	-
213	BRD-K57569181	pentoxifylline	-0.5166908952290097	Phosphodiesterase inhibitor
214	BRD-A80017228	bendroflumethiazide	-0.5165958964326863	Sodium channel inhibitor
215	BRD-K28789065	BRD-K28789065	-0.516592233672039	-
216	BRD-K15196155	IBC-293	-0.5163999907345943	-
217	BRD-K37694030	doxepin	-0.5162719232593714	Histamine receptor antagonist
218	BRD-A17428743	BW-723C86	-0.5161569720163252	-
219	BRD-A98299281	velnacrine	-0.5158935695776625	Cholinesterase inhibitor
220	BRD-K29950728	clomifene	-0.5158851535481913	Estrogen receptor antagonist
221	BRD-K66381707	BRD-K66381707	-0.5158287691686492	-
222	BRD-K77014406	BRD-K77014406	-0.5152671473275701	-
223	BRD-K88784410	BRD-K88784410	-0.5151846587353426	-
224	BRD-K43256821	BRD-K43256821	-0.5148747478321546	-
225	BRD-K94512704	spiramide	-0.5148056304563247	Dopamine receptor antagonist|Serotonin receptor antagonist
226	BRD-K31920458	mestranol	-0.5144789845265945	Estrogen receptor agonist
227	BRD-U31801276	WZ-7043	-0.5144066761445039	-
228	BRD-K69021489	BRD-K69021489	-0.5143995812795625	-
229	BRD-K81709173	halcinonide	-0.514310145127747	Glucocorticoid receptor agonist
230	BRD-A26384407	chlortalidone	-0.5140994941190654	Carbonic anhydrase inhibitor
231	BRD-K56047318	RHC-80267	-0.5139764733272489	-
232	BRD-A47598013	citalopram	-0.5138883723520538	Serotonin receptor antagonist
233	BRD-A59215453	lobelanidine	-0.5138771631438341	Acetylcholine receptor antagonist|Dopamine receptor modulator|Opioid receptor antagonist|Vesicular monoamine transporter inhibitor
234	BRD-K43069600	BRD-K43069600	-0.5138138415320244	-
235	BRD-K12219985	glipizide	-0.513115602083763	Sulfonylurea
236	BRD-K04389336	labetalol	-0.5130293639290706	Adrenergic receptor antagonist
237	BRD-A12409803	orteronel	-0.5127224099094388	Androgen receptor antagonist|Cytochrome P450 inhibitor
238	BRD-K57718010	pentylenetetrazol	-0.5127023351932225	GABA receptor antagonist
239	BRD-K19875179	BRD-K19875179	-0.5127016380231849	-
240	BRD-K85925969	zalcitabine	-0.5126931072624804	Nucleoside reverse transcriptase inhibitor
241	BRD-K93645900	tadalafil	-0.5126898856128401	Phosphodiesterase inhibitor
242	BRD-K69569876	BRD-K69569876	-0.5126191265448107	-
243	BRD-K66615216	moxifloxacin	-0.5124516828530112	Bacterial DNA inhibitor
244	BRD-K46142322	RS-67333	-0.5123181880101287	-
245	BRD-A77050075	heraclenol	-0.5121782580618279	Vitamin K antagonist
246	BRD-K98991361	BRD-K98991361	-0.5115437592006549	-
247	BRD-K89997465	chlorpromazine	-0.5115345934323459	-
248	BRD-K75089421	procainamide	-0.5115287549398486	Sodium channel inhibitor
249	BRD-K78481586	BRD-K78481586	-0.5112035834969141	-
250	BRD-A29734509	disopyramide	-0.5109963507564401	Sodium channel inhibitor
251	BRD-K55591206	epigallocatechin	-0.5108486252271711	-
252	BRD-K50135923	KU-C104491	-0.510829578564728	-
253	BRD-K03642198	AY-9944	-0.5107088390809457	-
254	BRD-A83402799	BRD-A83402799	-0.5105945635529692	-
255	BRD-K21005091	BRD-K21005091	-0.510557123699278	-
256	BRD-K72732164	BRD-K72732164	-0.510528938467617	-
257	BRD-K01493881	apigenin	-0.5103793059146454	Casein kinase inhibitor|Cell proliferation inhibitor|Cytochrome P450 inhibitor
258	BRD-K87426499	BRD-K87426499	-0.5103628509431426	-
259	BRD-K93880783	stavudine	-0.5103516557299398	DNA inhibitor|Reverse transcriptase inhibitor
260	BRD-A11170096	pravastatin	-0.5103045663655777	HMGCR inhibitor
261	BRD-K38012662	BRD-K38012662	-0.5102363980934977	-
262	BRD-K73819439	BRD-K73819439	-0.5099968302816972	-
263	BRD-A43188678	BRD-A43188678	-0.5099943789535104	-
264	BRD-K05395900	nicotine	-0.509929653182437	Acetylcholine receptor agonist
265	BRD-K18595892	BRD-K18595892	-0.5096093367761728	-
266	BRD-K25536815	BRD-K25536815	-0.5095060405626117	-
267	BRD-K13819402	desoxypeganine	-0.5094904417748939	Acetylcholinesterase inhibitor|Monoamine oxidase inhibitor
268	BRD-K61529775	BRD-K61529775	-0.5094757998001034	-
269	BRD-K68620903	dydrogesterone	-0.5094033871607105	Progesterone receptor agonist
270	BRD-K84881516	BRD-K84881516	-0.5091748789857812	-
271	BRD-A09472452	flecainide	-0.509007196447659	Sodium channel inhibitor
272	BRD-K48427617	U-0124	-0.5088199901730105	-
273	BRD-K43682718	SA-424589	-0.5087351341801168	-
274	BRD-A42571354	cetirizine	-0.5086506781582004	Histamine receptor antagonist
275	BRD-K66043364	noscapine	-0.508606152053878	Bradykinin receptor antagonist|Tubulin inhibitor
276	BRD-K21450440	benzthiazide	-0.508267401673698	Carbonic anhydrase inhibitor
277	BRD-K47936004	piribedil	-0.5082565785000039	Dopamine receptor agonist
278	BRD-K65366129	SD-6-035-A3	-0.5082502700248621	-
279	BRD-K02637541	celecoxib	-0.5081824819440081	Cyclooxygenase inhibitor
280	BRD-A07395371	esmolol	-0.5080823081539794	Adrenergic receptor antagonist
281	BRD-K21672423	BRD-K21672423	-0.5079753728632823	-
282	BRD-K18249495	BRD-K18249495	-0.5079419599302821	-
283	BRD-K43290182	Ro-04-6790	-0.5079333145218631	-
284	BRD-K67080878	milrinone	-0.5078852599404967	Phosphodiesterase inhibitor
285	BRD-A09467419	mebeverine	-0.5078662178343142	Acetylcholine receptor antagonist
286	BRD-K26906367	BRD-K26906367	-0.5078622274343181	-
287	BRD-K81272440	dantrolene	-0.5078315417202094	Calcium channel blocker
288	BRD-K08924299	palonosetron	-0.5077254851724831	Serotonin receptor antagonist
289	BRD-K72093121	vidarabine	-0.5076226301685349	Antiviral
290	BRD-K67470788	BRD-K67470788	-0.507604291511328	-
291	BRD-A29437505	RWJ-21757	-0.5076013037723685	-
292	BRD-K24894325	BRD-K24894325	-0.5075906370632052	-
293	BRD-K93918653	quizartinib	-0.5075802579168135	FLT3 inhibitor
294	BRD-K45158365	valsartan	-0.507536205716671	Angiotensin receptor antagonist
295	BRD-K15475572	BRD-K15475572	-0.5075082137300403	-
296	BRD-K60511616	pravastatin	-0.5074660602258101	HMGCR inhibitor
297	BRD-K19416115	sitagliptin	-0.50745837278294	Dipeptidyl peptidase inhibitor
298	BRD-K88789588	letrozole	-0.50741319828862	Aromatase inhibitor
299	BRD-A84174393	meloxicam	-0.507244706736407	Cyclooxygenase inhibitor
300	BRD-K47690943	BRD-K47690943	-0.5071396173516102	-
301	BRD-K46441700	GR-55562	-0.5070313269945507	-
302	BRD-K34206396	SA-84512	-0.5070199732309326	-
303	BRD-K31471398	dihydrexidine	-0.5070158450342611	Dopamine receptor agonist
304	BRD-K30958640	BRD-K30958640	-0.5069322281187294	-
305	BRD-K97309399	thiothixene	-0.5068279573787995	Dopamine receptor antagonist
306	BRD-K49807497	BRD-K49807497	-0.5064454993122205	-
307	BRD-K48970916	danazol	-0.5062900527435514	Progesterone receptor agonist
308	BRD-A22844106	tenoxicam	-0.5061736445400319	Cyclooxygenase inhibitor
309	BRD-K59962020	CHEMBL-374350	-0.5061698358198812	-
310	BRD-A24054354	BRD-A24054354	-0.5060252048776104	-
311	BRD-K71292008	BRD-K71292008	-0.5059598085488607	-
312	BRD-K11260407	BRD-K11260407	-0.5058711566389139	-
313	BRD-K64780785	BRD-K64780785	-0.5057934399823366	-
314	BRD-K55395145	pemetrexed	-0.505671641112038	Dihydrofolate reductase inhibitor|Thymidylate synthase inhibitor
315	BRD-K32536677	AGK-2	-0.5056159473834936	-
316	BRD-K88741031	methyl-2,5-dihydroxycinnamate	-0.5055751912127785	-
317	BRD-A87719232	naproxen	-0.5054442131839553	Cyclooxygenase inhibitor
318	BRD-K26801045	pipamperone	-0.5052725117573552	Dopamine receptor antagonist
319	BRD-K64058329	BRD-K64058329	-0.5052256639316917	-
320	BRD-A21858158	praziquantel	-0.5050395200281311	Anthelmintic
321	BRD-A60583491	nitrarine	-0.5049723802498293	-
322	BRD-K73888531	BRD-K73888531	-0.504944814755748	-
323	BRD-K89595132	chlorphenamine	-0.5049108246960592	-
324	BRD-K29160485	BRD-K29160485	-0.5047837828517762	-
325	BRD-K97118047	4,5,6,7-tetrabromobenzotriazole	-0.5047241385045466	-
326	BRD-K30459086	BRD-K30459086	-0.5043387241094667	-
327	BRD-A63445921	nicardipine	-0.5042898140650215	Calcium channel blocker
328	BRD-K20492338	BRD-K20492338	-0.504166295934605	-
329	BRD-K98769987	flumazenil	-0.5040449810562165	Benzodiazepine receptor antagonist
330	BRD-A97479839	piperidolate	-0.5039554883334643	Acetylcholine receptor antagonist
331	BRD-K80126354	BRD-K80126354	-0.5039160829743762	-
332	BRD-A13946108	sulindac	-0.5037012193825113	Cyclooxygenase inhibitor
333	BRD-K63511615	SJB-AF-2	-0.5036827828659179	-
334	BRD-K49685476	TTNPB	-0.5036656814662063	-
335	BRD-K94296811	BRD-K94296811	-0.5036547055396163	-
336	BRD-K24861700	BRD-K24861700	-0.5036074852444992	-
337	BRD-K25224017	pirenperone	-0.5035373449582108	Serotonin receptor antagonist
338	BRD-K76052538	BRD-K76052538	-0.5035218760509864	-
339	BRD-K53878242	MMPX	-0.5034879642490523	-
340	BRD-K35629949	SR-27897	-0.503424704631842	-
341	BRD-K44781077	BRD-K44781077	-0.5033565543564107	-
342	BRD-A10523515	GSK-429286A	-0.5032420909403215	-
343	BRD-K02113016	olaparib	-0.503213315721399	PARP inhibitor
344	BRD-K93568044	hydrocortisone	-0.5029611451814711	Glucocorticoid receptor agonist
345	BRD-K14636731	BRD-K14636731	-0.5028823599803259	-
346	BRD-K92000912	AM-251	-0.5028584112537069	-
347	BRD-K69231968	BRD-K69231968	-0.5026968593299835	-
348	BRD-A19736161	ondansetron	-0.5026762408998086	Serotonin receptor antagonist
349	BRD-A37837077	cyclazosin	-0.5026408231904529	Adrenergic receptor antagonist
350	BRD-K78603557	BRD-K78603557	-0.5026320512127045	-
351	BRD-K23980805	BRD-K23980805	-0.5025916260524121	-
352	BRD-K05396879	15-delta-prostaglandin-j2	-0.5025194808420895	-
353	BRD-K07888107	depudecin	-0.5022799556106998	HDAC inhibitor
354	BRD-A02180903	betamethasone	-0.5021610758566802	Glucocorticoid receptor agonist
355	BRD-K81839095	estrone	-0.5020945956292787	Estrogen receptor agonist|Estrogenic hormone
356	BRD-A31204924	mitotane	-0.502075755326312	Carcinogen
357	BRD-K50659736	BRD-K50659736	-0.5019271338252007	-
358	BRD-K68826049	BRD-K68826049	-0.5017105901680706	-
359	BRD-K70947604	BRD-K70947604	-0.5016775473163468	-
360	BRD-K55827386	BRD-K55827386	-0.5012450965011537	-
361	BRD-K92754162	BRD-K92754162	-0.5011455976667909	-
362	BRD-A81795050	U-18666A	-0.500931980113786	-
363	BRD-A38793261	BRD-A38793261	-0.500931588905369	-
364	BRD-A68723818	brompheniramine	-0.5007445741327311	Histamine receptor antagonist
365	BRD-A55913614	primaquine	-0.5006290888631135	Antimalarial|DNA inhibitor
366	BRD-K30781400	BRD-K30781400	-0.5005962887923556	-
367	BRD-A26962727	BRD-A26962727	-0.5005686225256015	-
368	BRD-K90446130	BRD-K90446130	-0.5005548086507129	-
369	BRD-K58772419	AZD-6482	-0.5002204157649836	-
370	BRD-K62965247	tipifarnib-P2	-0.5001634303805778	-
371	BRD-K49111258	prazosin	-0.5001319028539729	Adrenergic receptor antagonist
372	BRD-K03981224	ethisterone	-0.49996115213908593	Progestogen hormone
373	BRD-A13195221	STK-064652	-0.4997539973112723	-
374	BRD-K00234327	RU-24969	-0.49971489505879324	-
375	BRD-K67414432	BRD-K67414432	-0.49964622240479517	-
376	BRD-A17453586	MDL-72832	-0.49963098889708973	-
377	BRD-A07765530	epinephrine	-0.4996172447729203	Adrenergic receptor agonist|Neurotransmitter
378	BRD-M62162320	rilmenidine	-0.4996002168422352	Imidazoline receptor agonist
379	BRD-K08619838	tremorine	-0.4995558307899923	Acetylcholine receptor agonist
380	BRD-K43887077	dopamine	-0.4994736242463345	Dopamine receptor agonist
381	BRD-K92015269	GBR-12783	-0.4994532596917654	-
